feature_name|feature_class|state_name|map_name|prim_lat_dec|prim_long_dec
Red Peak|Summit|California|Rockbound Valley|38.9250907|-120.2212664
Red Spur|Ridge|California|Mount Kaweah|36.5394053|-118.4402159
Rickey Peak|Summit|California|Fales Hot Springs|38.2637004|-119.3812193
Riley Ridge|Ridge|California|La Grange|37.6984123|-120.4159935
Robinson Peak|Summit|California|Buckeye Ridge|38.1659487|-119.3864829
Rocky Hill|Summit|California|Calaveritas|38.1742495|-120.6115822
Rocky Point|Summit|California|Irish Hill|38.4195528|-120.8899469
Rodgers Ridge|Ridge|California|Rough Spur|36.9094055|-118.891647
Rough Spur|Ridge|California|Rough Spur|36.9068654|-118.9339908
Round Hills|Summit|California|Catheys Valley|37.3831663|-120.0980264
Round Mountain|Summit|California|Round Mountain|36.8187312|-119.5102259
Round Mountain|Summit|California|Toms Place|37.6160379|-118.6426119
