name,latitude,longitude,elevation_ft,list,section,class,emblem,mountaineers,mileage_rt,gain_ft,loss_ft,trailhead,quad,elev_estimated,coord_source,benchmark,benchmark_rating
Smith Mountain,36.127229,-118.224235,9533,SPS,1.1,2,False,False,1.4,995.0,,SNF 21S36,Monache Mtn.,False,GNIS,False,
English Mountain,39.446352,-120.551138,8373,SPS,24.6,2,False,False,1.9,1300.0,,Tollhouse Lake,English Mtn.,False,GNIS,False,
Lamont Peak,35.792046,-118.043567,7429,SPS,1.4,2,False,False,1.9,2560.0,330.0,Lamont Peak Trail,Lamont Peak,False,GNIS,False,
Independence Peak,36.76096,-118.331834,11742,SPS,9.2,3,False,False,2.0,2595.0,45.0,Robertson Lake Trail,Kearsarge Peak,False,GNIS,False,
Taylor Dome,35.85635,-118.30342,8802,SPS,1.7,2s3,False,False,2.3,1155.0,185.0,Big Meadows Trail,Cannell Peak,False,peakbagger,False,
Dunderberg Peak,38.064445,-119.274289,12374,SPS,22.5,2,False,False,2.3,2745.0,180.0,Virginia Lakes Trail,Dunderberg Peak,False,GNIS,False,
Cathedral Peak,37.847829,-119.405621,10911,SPS,21.1,3s4,False,True,2.9,2440.0,100.0,Tuolumne Meadows,Tenaya Lake,False,GNIS,True,S-4.0
Adams Peak,39.910584,-120.100105,8197,SPS,24.9,2,False,False,3.0,1885.0,,Forest service road,Constantia,False,GNIS,False,
Round Top,38.663553,-120.00127,10381,SPS,23.7,3,False,False,3.1,2320.0,150.0,Wood Lake Trail,Carson Pass,False,GNIS,True,S-3.0
Mount Dana,37.899686,-119.221249,13057,SPS,21.8,1,False,False,3.1,3440.0,325.0,Tioga Pass,Mount Dana,False,GNIS,True,S-1.1
Sierra Buttes,39.593538,-120.647045,8591,SPS,24.7,1,False,False,3.2,2485.0,125.0,Forest Route 93,Sierra City,False,GNIS,False,
Kearsarge Peak,36.789474,-118.3472,12618,SPS,9.3,1,False,False,3.2,3855.0,190.0,Old mining trail,Kearsarge Peak,False,GNIS,False,
Sirretta Peak,35.924301,-118.333185,9977,SPS,1.8,1,False,False,3.3,2215.0,70.0,Cannell Meadows Trail 33E22,Sirretta Peak,False,GNIS,False,
Mount Conness,37.967053,-119.321395,12590,SPS,22.2,2,False,False,3.3,2860.0,370.0,Saddlebag Lake,Tioga Pass,False,GNIS,False,
Mount Elwell,39.708193,-120.689142,7818,SPS,24.8,1,False,False,3.4,2080.0,820.0,Lake Basin campground,Gold Lake,False,GNIS,False,
Mount Gibbs,37.877094,-119.211836,12773,SPS,21.7,1,False,False,3.5,3195.0,110.0,Mono Pass Trail,Mount Dana,False,GNIS,True,S-1.2
Owens Peak,35.738123,-117.996877,8453,SPS,1.2,2,False,False,3.5,3200.0,145.0,Indian Wells Canyon,Owens Peak,False,GNIS,False,
Dragon Peak,36.789847,-118.375894,12927,SPS,9.1,3s4,False,False,3.5,4020.0,280.0,Golden Trout Lakes Trail,Kearsarge Peak,True,GNIS,False,
Mount Warren,37.989934,-119.223357,12327,SPS,22.1,1,False,False,3.5,4515.0,,Lundy Lake,Mount Dana,False,GNIS,False,
Moses Mountain,36.278722,-118.68081,9331,SPS,2.5,3,False,False,3.7,3510.0,100.0,Long Meadow Trail,Moses Mountain,False,GNIS,False,
Pilot Knob (S),35.728662,-118.212246,6200,SPS,1.1,2,False,False,3.7,3610.0,120.0,Dirt road,Onyx,True,GNIS,False,
University Peak,36.748079,-118.36187,13589,SPS,9.1,2,False,True,3.9,4540.0,150.0,Kearsarge Pass Trail,Mount Williamson,False,GNIS,False,
Mount Morrison,37.561387,-118.858277,12277,SPS,18.8,2,False,True,4.0,4870.0,240.0,Convict Lake,Convict Lake,False,GNIS,True,S-2.2
Sawtooth Peak (S),35.823138,-117.998651,8000,SPS,1.5,2,False,False,4.1,2445.0,,Pacific Crest Trail,Nine Mile Canyon,True,GNIS,False,
Castle Peak,39.366152,-120.35174,9103,SPS,24.3,1s3,False,False,4.2,2235.0,360.0,Boreal Ridge Parking,Nordon,False,GNIS,False,
North Peak,37.982191,-119.315072,12242,SPS,22.3,2,False,False,4.2,2630.0,490.0,Saddlebag Lake,Tioga Pass,False,GNIS,False,
Stanislaus Peak,38.383989,-119.667084,11233,SPS,23.3,1,False,False,4.2,2570.0,755.0,St. Mary's Pass Trail,Disaster Peak,False,GNIS,False,
Mount Carillion,36.592421,-118.277909,13517,SPS,5.4,2,False,False,4.2,5465.0,250.0,Mount Whitney Trail,Mount Whitney,True,GNIS,False,
North Maggie Mountain,36.276772,-118.637698,10234,SPS,2.4,1,False,False,4.3,4315.0,,Shakes Camp,Moses Mountain,False,peakbagger,False,
Mount Russell,36.590671,-118.289036,14088,SPS,5.3,3,False,True,4.5,6100.0,310.0,Mount Whitney Trail,Mount Whitney,False,GNIS,False,
Mount Tallac,38.905897,-120.098848,9735,SPS,23.11,1,False,False,4.6,3295.0,65.0,Mount Tallac Trail,Emerald Bay,False,GNIS,False,
Excelsior Mountain,38.024581,-119.305392,12446,SPS,22.4,1,False,False,4.6,2995.0,360.0,Virginia Lakes Trail,Dunderberg Peak,False,GNIS,False,
Mount Lola,39.432988,-120.364895,9148,SPS,24.5,1,False,False,4.8,1405.0,255.0,Mt Lola Trail,Indepence Lk.,False,GNIS,False,
Thor Peak,36.576855,-118.26574,12306,SPS,4.8,2,False,False,4.8,4005.0,,Mount Whitney Trail,Mount Whitney,False,GNIS,False,
Lone Pine Peak,36.561734,-118.2257,12943,SPS,4.9,2,False,False,4.8,5085.0,,Meysan Lakes Trail,Mount Langley,False,GNIS,False,
Mount Johnson,37.128459,-118.586358,12871,SPS,14.1,2,False,False,5.0,3360.0,300.0,Bishop Pass Trail,Mount Thompson,False,GNIS,False,
Mount Emerson,37.2447,-118.659728,13204,SPS,16.2,2,False,False,5.0,3955.0,,Piute Pass Trail,Mount Darwin,False,GNIS,False,
Cloudripper,37.142753,-118.530469,13525,SPS,14.9,2,False,False,5.0,4295.0,50.0,North Fork Trail,Mount Thompson,False,GNIS,False,
Tunnabora Peak,36.605128,-118.282185,13563,SPS,5.5,2,False,False,5.0,5365.0,300.0,Mount Whitney Trail,Mount Whitney,False,GNIS,False,
Cartago Peak,36.32457,-118.10213,10480,SPS,3.2,2s3,False,False,5.0,6710.0,,West side of aquaduct,Olancha,True,peakbagger,False,
Mount Mills,37.393853,-118.789998,13451,SPS,17.1,3,False,False,5.1,3320.0,100.0,Mono Pass Trail,Mount Abbot,False,GNIS,False,
Mount Rose,39.343776,-119.917938,10776,SPS,24.4,1,False,False,5.2,1955.0,,Mount  Rose Highway,Mount Rose,False,GNIS,True,S-1.0
Mount Dade,37.381913,-118.779489,13600,SPS,17.8,2,False,False,5.3,3470.0,100.0,Mono Pass Trail,Mount Abbot,True,GNIS,False,
MOUNT ABBOT,37.386353,-118.784831,13704,SPS,17.9,3,True,False,5.3,3575.0,100.0,Mono Pass Trail,MOUNT ABBOT,False,GNIS,False,
Mount Morgan (S),37.405177,-118.732947,13748,SPS,17.11,2,False,False,5.3,4340.0,300.0,Tamarack Lakes Trail,Mount Morgan,False,GNIS,False,
Freel Peak,38.857429,-119.900123,10881,SPS,23.8,1,False,False,5.4,3050.0,,Fountain Place,Freel Peak,False,GNIS,False,
Mount Gilbert,37.136369,-118.598223,13106,SPS,14.11,2,False,False,5.5,3675.0,380.0,Bishop Pass Trail,Mount Thompson,False,GNIS,False,
Temple Crag,37.109718,-118.491327,12976,SPS,14.1,3,False,False,5.5,5475.0,300.0,South Fork Trail,Split Mountain,False,GNIS,False,
Mount Lamarck,37.19487,-118.670615,13417,SPS,15.9,1,False,False,5.6,4155.0,,Lamark Lakes Trail,Mount Darwin,False,GNIS,True,S-2.0
Bloody Mountain,37.560555,-118.906759,12552,SPS,18.9,2,False,False,5.6,5250.0,,Laurel Creek Trail,Bloody Mountain,False,GNIS,False,
Rockhouse Peak,35.90099,-118.22839,8360,SPS,1.6,2,False,False,5.7,3035.0,520.0,Rockhouse Basin Trail,Rockhouse Basin,True,peakbagger,False,
Granite Chief,39.198184,-120.287087,9006,SPS,24.1,1,False,False,5.7,3380.0,620.0,Squaw Valley Fire Station,Granite Chief,False,GNIS,False,
Mount Bradley,36.728643,-118.338717,13264,SPS,8.1,2,False,False,5.7,7825.0,480.0,Pinyon Creek Trail,Mount Williamson,False,GNIS,False,
Leavitt Peak,38.286112,-119.651229,11569,SPS,23.2,1,False,False,5.8,2400.0,450.0,Pacific Crest Trail,Sonora Pass,False,GNIS,True,S-1.2
Bear Creek Spire,37.368053,-118.767608,13720,SPS,17.7,3s4,False,True,5.8,3590.0,100.0,Mono Pass Trail,Mount Hilgard,True,GNIS,True,S-4.2
San Joaquin Mountain,37.719094,-119.1062,11598,SPS,19.9,1,False,False,5.9,2340.0,,Minaret Vista Parking,Mammoth Mountain,False,GNIS,False,
Pyramid Peak (N),38.844869,-120.157782,9983,SPS,23.9,2,False,False,6.0,3285.0,,Lyon Creek Trail,Pyramid Peak,False,GNIS,False,
